distribution_center_id,distribution_center_name,warehouse_type,region,city,country,manager_id,product_id,storage_type,inventory_units,storage_capacity_units,occupied_capacity_units,utilization_pct,inbound_shipments,outbound_shipments,orders_processed,avg_processing_time_hours,dock_doors,employees,operating_shift,status,record_date,on_time_dispatch_pct,damaged_units,stockout_flag,last_inventory_audit_date
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0087,P00237,Cold,22762,89229,45920,51.46,70,11,68,2.24,16,425,Evening,Active,2025-01-01,74.67,49,No,2024-12-15
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0065,P00233,Ambient,8450,88407,79228,89.62,48,32,183,3.02,9,351,Night,Maintenance,2025-01-01,86.39,37,No,2024-12-15
DC0012,Distribution Center 12,Fulfillment Center,South,Hyderabad,India,MGR0035,P00123,Frozen,20887,21742,18877,86.82,33,81,245,8.56,30,352,Morning,Temporarily Closed,2025-01-01,89.64,10,No,2025-01-01
DC0012,Distribution Center 12,Cold Storage DC,South,Hyderabad,India,MGR0024,P00239,Ambient,2070,51680,14186,27.45,58,6,207,22.37,28,439,Night,Active,2025-01-01,94.43,7,No,2024-12-04
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0006,P00126,Ambient,18009,105274,36203,34.39,33,76,201,19.25,21,140,Evening,Active,2025-01-01,92.84,3,No,2024-12-17
DC0017,Distribution Center 17,Regional DC,South,Kochi,India,MGR0004,P00232,Ambient,6450,38738,26920,69.49,77,89,451,22.58,18,318,Morning,Active,2025-01-01,78.63,30,No,2024-12-31
DC0025,Distribution Center 25,Cold Storage DC,Central,Bhopal,India,MGR0025,P00134,Ambient,8582,111681,35738,32.0,55,56,458,17.05,20,192,Morning,Active,2025-01-01,85.25,15,No,2024-12-22
DC0029,Distribution Center 29,Fulfillment Center,West,Pune,India,MGR0100,P00109,Ambient,8062,68145,65594,96.26,36,90,271,3.83,50,307,Night,Active,2025-01-01,87.13,5,No,2024-12-22
DC0030,Distribution Center 30,Cross-Dock Center,Central,Nagpur,India,MGR0028,P00063,Hazardous,14360,115517,69643,60.29,70,57,44,11.89,23,50,Evening,Active,2025-01-01,99.47,0,No,2025-01-01
DC0006,Distribution Center 06,Regional DC,North,Chandigarh,India,MGR0092,P00019,Frozen,16147,86632,42757,49.35,62,89,261,21.87,42,370,Evening,Active,2025-01-02,83.64,30,No,2024-12-19
DC0009,Distribution Center 09,Fulfillment Center,West,Pune,India,MGR0044,P00152,Ambient,19008,115726,64288,55.55,33,2,271,14.23,22,247,Morning,Active,2025-01-02,83.65,36,No,2024-12-29
DC0009,Distribution Center 09,Regional DC,West,Pune,India,MGR0083,P00153,Hazardous,980,133435,60636,45.44,45,1,27,15.89,16,80,Evening,Temporarily Closed,2025-01-02,87.26,14,No,2024-12-11
DC0010,Distribution Center 10,Regional DC,Central,Nagpur,India,MGR0100,P00136,Ambient,22588,109765,77407,70.52,21,42,462,16.14,21,378,Evening,Active,2025-01-02,90.82,9,No,2024-12-04
DC0014,Distribution Center 14,Cross-Dock Center,West,Ahmedabad,India,MGR0099,P00141,Ambient,21069,136387,95353,69.91,62,97,309,21.9,24,72,Morning,Active,2025-01-02,91.41,23,No,2024-12-15
DC0016,Distribution Center 16,Fulfillment Center,North,Lucknow,India,MGR0010,P00103,Frozen,17872,37939,17842,47.03,40,72,84,14.44,5,97,Evening,Active,2025-01-02,76.66,42,No,2024-12-03
DC0022,Distribution Center 22,Regional DC,South,Chennai,India,MGR0078,P00089,Hazardous,19935,123165,33873,27.5,21,63,482,20.65,23,314,Night,Active,2025-01-02,78.67,23,No,2024-12-20
DC0022,Distribution Center 22,Cross-Dock Center,South,Chennai,India,MGR0047,P00137,Cold,2691,134577,121686,90.42,3,47,336,23.86,23,72,Night,Active,2025-01-02,83.96,12,No,2024-12-03
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0071,P00015,Ambient,24690,55512,37133,66.89,3,21,112,21.47,27,266,Morning,Maintenance,2025-01-02,86.18,36,No,2024-12-03
DC0026,Distribution Center 26,Cold Storage DC,North,Chandigarh,India,MGR0053,P00127,Frozen,16771,103094,80977,78.55,26,98,442,1.75,21,242,Morning,Maintenance,2025-01-02,93.31,46,No,2024-12-24
DC0001,Distribution Center 01,Cold Storage DC,North,Delhi,India,MGR0031,P00125,Cold,14849,148271,125821,84.86,4,95,42,13.49,43,268,Night,Maintenance,2025-01-03,82.5,43,No,2024-12-30
